plan_order,wave,wave_name,batch,batch_name,chunk,risk,date,short_sha,sha,author,subject,rationale,top_dirs,files_changed,insertions,deletions,goal,validation,commit_url,new_in_revision
11,1,Safety First,1A,Auth and Runtime Hardening,1A-02,high,2026-03-22,1a0588d233,1a0588d233ab921df5bfb5e5c400b88a86308257,lasagna,fix: auto-retry Microsoft OAuth on AADSTS650051 race condition (#18405),security or auth hardening,packages/twenty-server (6),6,185,0,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/1a0588d233ab921df5bfb5e5c400b88a86308257,no
12,1,Safety First,1A,Auth and Runtime Hardening,1A-02,high,2026-03-23,6f4f7a1198,6f4f7a1198ef31c9d7a5a1fa11df9c7fa47a2bf7,Félix Malfait,fix: add security headers to file serving endpoints to prevent stored XSS (#18857),security or auth hardening,packages/twenty-server (7),7,247,431,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/6f4f7a1198ef31c9d7a5a1fa11df9c7fa47a2bf7,no
13,1,Safety First,1A,Auth and Runtime Hardening,1A-02,high,2026-03-25,bf22373315,bf22373315cbe98c5541d29bfc3fe31c31bc1abe,Marie,Fix: use user role for OAuth tokens bearing user context (#18954),security or auth hardening,packages/twenty-server (3),3,246,7,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/bf22373315cbe98c5541d29bfc3fe31c31bc1abe,no
14,1,Safety First,1A,Auth and Runtime Hardening,1A-02,high,2026-03-27,08077476f3,08077476f331753a02e4ecbaadd343c0c7b47061,Félix Malfait,fix: remove remaining direct cookie writes that make tokenPair a session cookie on renewal (#19031),core product bug fix,packages/twenty-front (2),2,0,5,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/08077476f331753a02e4ecbaadd343c0c7b47061,no
15,1,Safety First,1A,Auth and Runtime Hardening,1A-02,high,2026-04-02,2ebff5f4d7,2ebff5f4d7699162de62cf8e6349da68d718bff2,Félix Malfait,fix: harden token renewal and soften refresh token revocation (#19175),security or auth hardening,"packages/twenty-front (3), packages/twenty-server (2)",5,36,29,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/2ebff5f4d7699162de62cf8e6349da68d718bff2,no
16,1,Safety First,1A,Auth and Runtime Hardening,1A-02,high,2026-04-03,c521ba29be,c521ba29bebad020d7393a5f9ddcb8d6d971fbb9,neo773,fix: CalDAV sync broken by SSRF hostname replacement (#19291),security or auth hardening,packages/twenty-server (3),3,57,13,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/c521ba29bebad020d7393a5f9ddcb8d6d971fbb9,no
17,1,Safety First,1A,Auth and Runtime Hardening,1A-03,high,2026-04-04,8da69e0f77,8da69e0f77ea820a6845a4c3c025b6af3861d523,Félix Malfait,Fix stored XSS via unsafe URL protocols in href attributes (#19282),core product bug fix,"packages/twenty-front (10), packages/twenty-shared (4), packages/twenty-server (1)",15,110,37,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/8da69e0f77ea820a6845a4c3c025b6af3861d523,no
18,1,Safety First,1B,Dependency Vulnerabilities,1B-01,high,2026-03-16,e6f1bdd1c8,e6f1bdd1c84ff1485b0b8c63a66680e1e014c79e,Abdullah.,fix: yauzl contains an off-by-one error (#18662),security/build hardening,yarn.lock (1),1,3,3,"Close known parser, XSS, and path-traversal issues with isolated dependency fixes.","Apply this batch together, regenerate yarn.lock with install, then run build and a short auth/file smoke test.",https://github.com/twentyhq/twenty/commit/e6f1bdd1c84ff1485b0b8c63a66680e1e014c79e,no
19,1,Safety First,1B,Dependency Vulnerabilities,1B-01,high,2026-03-16,1b20bdaf6d,1b20bdaf6d0b03ccaad7425c10b6bf3bbea941e9,Abdullah.,fix: @isaacs/brace-expansion has uncontrolled resource consumption (#18660),security/build hardening,yarn.lock (1),1,3,3,"Close known parser, XSS, and path-traversal issues with isolated dependency fixes.","Apply this batch together, regenerate yarn.lock with install, then run build and a short auth/file smoke test.",https://github.com/twentyhq/twenty/commit/1b20bdaf6d0b03ccaad7425c10b6bf3bbea941e9,no
20,1,Safety First,1B,Dependency Vulnerabilities,1B-01,high,2026-03-16,87c519b72f,87c519b72fb49cd0499414c1c86e94fe69d26d01,Abdullah.,fix: multer vulnerable to denial of service via uncontrolled recursion (#18659),core product bug fix,"packages/twenty-server (1), yarn.lock (1)",2,29,29,"Close known parser, XSS, and path-traversal issues with isolated dependency fixes.","Apply this batch together, regenerate yarn.lock with install, then run build and a short auth/file smoke test.",https://github.com/twentyhq/twenty/commit/87c519b72fb49cd0499414c1c86e94fe69d26d01,no
21,1,Safety First,1B,Dependency Vulnerabilities,1B-01,high,2026-03-16,2c2f66b584,2c2f66b584c0456a48c14ed10d28def0c655a01d,Abdullah.,fix: DOMPurify contains a cross-site scripting vulnerability (#18665),core product bug fix,"packages/twenty-server (1), yarn.lock (1)",2,6,6,"Close known parser, XSS, and path-traversal issues with isolated dependency fixes.","Apply this batch together, regenerate yarn.lock with install, then run build and a short auth/file smoke test.",https://github.com/twentyhq/twenty/commit/2c2f66b584c0456a48c14ed10d28def0c655a01d,no
22,1,Safety First,1B,Dependency Vulnerabilities,1B-01,high,2026-03-16,6e36ad9fa2,6e36ad9fa228059fc0be7cc6a96bebc5cd26ed73,Abdullah.,fix: mailparser vulnerable to cross-site scripting (#18664),core product bug fix,"packages/twenty-server (1), yarn.lock (1)",2,24,8,"Close known parser, XSS, and path-traversal issues with isolated dependency fixes.","Apply this batch together, regenerate yarn.lock with install, then run build and a short auth/file smoke test.",https://github.com/twentyhq/twenty/commit/6e36ad9fa228059fc0be7cc6a96bebc5cd26ed73,no
23,1,Safety First,1B,Dependency Vulnerabilities,1B-01,high,2026-03-31,36dece43c7,36dece43c735b37d685895d2e48a89f936435bf8,Gabriel,Fix: Upgrade Nodemailer to address SMTP command injection vulnerability (#19151),core product bug fix,"packages/twenty-server (3), package.json (1), yarn.lock (1)",5,13,19,"Close known parser, XSS, and path-traversal issues with isolated dependency fixes.","Apply this batch together, regenerate yarn.lock with install, then run build and a short auth/file smoke test.",https://github.com/twentyhq/twenty/commit/36dece43c735b37d685895d2e48a89f936435bf8,no
24,1,Safety First,1B,Dependency Vulnerabilities,1B-01,high,2026-04-02,2ae6a9bb98,2ae6a9bb98f58b2a825007365e57677036b56fc9,Bennett,fix: bump handlebars to 4.7.9 (CVE-2026-33937) (#19288),core product bug fix,"packages/twenty-shared (1), yarn.lock (1)",2,21,3,"Close known parser, XSS, and path-traversal issues with isolated dependency fixes.","Apply this batch together, regenerate yarn.lock with install, then run build and a short auth/file smoke test.",https://github.com/twentyhq/twenty/commit/2ae6a9bb98f58b2a825007365e57677036b56fc9,no
25,1,Safety First,1B,Dependency Vulnerabilities,1B-01,high,2026-04-07,8c9228cb2b,8c9228cb2b5f26dca08f54d0007c6c7e8937d202,Abdullah.,fix: SVGO DoS through entity expansion in DOCTYPE (#19359),security/build hardening,yarn.lock (1),1,16,16,"Close known parser, XSS, and path-traversal issues with isolated dependency fixes.","Apply this batch together, regenerate yarn.lock with install, then run build and a short auth/file smoke test.",https://github.com/twentyhq/twenty/commit/8c9228cb2b5f26dca08f54d0007c6c7e8937d202,no
26,1,Safety First,1B,Dependency Vulnerabilities,1B-02,high,2026-04-07,68cd2f6d61,68cd2f6d611111a44ec98870dbfffeb3bbc343af,Abdullah.,fix: node-tar symlink path traversal via drive-relative linkpath (#19360),security or auth hardening,"packages/twenty-server (2), yarn.lock (1)",3,8,21,"Close known parser, XSS, and path-traversal issues with isolated dependency fixes.","Apply this batch together, regenerate yarn.lock with install, then run build and a short auth/file smoke test.",https://github.com/twentyhq/twenty/commit/68cd2f6d611111a44ec98870dbfffeb3bbc343af,no
27,2,Backend Correctness,2A,Server and Runtime Fixes,2A-01,medium,2026-03-05,4c001778c2,4c001778c2ac48847c4215bde8ba152da81600a9,neo773,fix google signup edge case (#18365),core product bug fix,"packages/twenty-server (8), yarn.lock (1)",9,212,66,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/4c001778c2ac48847c4215bde8ba152da81600a9,no
28,2,Backend Correctness,2A,Server and Runtime Fixes,2A-01,medium,2026-03-12,b21fb4aa6f,b21fb4aa6f1192fa5ac7a12b1ba65c8a4d7d4f2e,neo773,Fix PDF Upload edge case (#18533),core product bug fix,"packages/twenty-server (6), yarn.lock (1)",7,151,178,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/b21fb4aa6f1192fa5ac7a12b1ba65c8a4d7d4f2e,no
29,2,Backend Correctness,2A,Server and Runtime Fixes,2A-01,medium,2026-03-16,cb4efb1d0e,cb4efb1d0ed2d91526dc4d01c6baf66106181161,Assad Robles,fix: respect standard object rename across all locales (Closes #18650) (#18652),core product bug fix,packages/twenty-server (2),2,3,9,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/cb4efb1d0ed2d91526dc4d01c6baf66106181161,no
30,2,Backend Correctness,2A,Server and Runtime Fixes,2A-01,medium,2026-03-16,b6b96be603,b6b96be60322a6d5ef02936cd7171076ebd46a13,Weiko,Fix custom object view fields creation (#18629),core product bug fix,packages/twenty-server (9),9,342,4079,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/b6b96be60322a6d5ef02936cd7171076ebd46a13,no
31,2,Backend Correctness,2A,Server and Runtime Fixes,2A-01,high,2026-03-17,3204175065,320417506586d28c138a34b992b3698eb2c6de84,Arun,[FIx]: using the dynamic {objectLabelPlural} instead of hardcoded name (#18700),core app change worth pulling,packages/twenty-server (28),28,28,28,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/320417506586d28c138a34b992b3698eb2c6de84,no
32,2,Backend Correctness,2A,Server and Runtime Fixes,2A-01,medium,2026-03-18,0ae62898a3,0ae62898a39ddeec0d4dafb4cb05861ff56ff3fa,Charles Bochet,fix: restructure navigationMenuItem type migration for safe upgrade path (#18722),core product bug fix,packages/twenty-server (7),7,195,18,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/0ae62898a39ddeec0d4dafb4cb05861ff56ff3fa,no
33,2,Backend Correctness,2A,Server and Runtime Fixes,2A-01,medium,2026-03-19,02bfebccc2,02bfebccc26f7a13b11c0787bce13f4e2945e70a,Abdul Rahman,Fix: cascade delete favorite folder children on backend (#18765),core product bug fix,packages/twenty-server (1),1,14,1,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/02bfebccc26f7a13b11c0787bce13f4e2945e70a,no
34,2,Backend Correctness,2A,Server and Runtime Fixes,2A-01,medium,2026-03-20,732aea9121,732aea9121fec3430be3ff1ceeec03f6c46f9326,Charles Bochet,fix: restore original migration timestamp for messaging infrastructure (#18810),core product bug fix,packages/twenty-server (1),1,2,2,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/732aea9121fec3430be3ff1ceeec03f6c46f9326,no
35,2,Backend Correctness,2A,Server and Runtime Fixes,2A-01,medium,2026-03-23,49af539032,49af5390323cbb029465bce2ea992f6b51c3d960,Félix Malfait,Fix migration crash: agent.modelId NOT NULL violation (#18844),core product bug fix,packages/twenty-server (1),1,5,4,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/49af5390323cbb029465bce2ea992f6b51c3d960,no
36,2,Backend Correctness,2A,Server and Runtime Fixes,2A-01,medium,2026-03-23,708e53d829,708e53d829a1f9e0bcf964f7cc4537feed1d83dd,Charles Bochet,Fix multi-select option removal crashing when records contain removed values (#18871),core product bug fix,packages/twenty-server (2),2,222,10,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/708e53d829a1f9e0bcf964f7cc4537feed1d83dd,no
37,2,Backend Correctness,2A,Server and Runtime Fixes,2A-02,medium,2026-03-24,7a1780e415,7a1780e415fbac2db3b108c1431d1368fae3aaa4,Baptiste Devessier,Fix duplicate views creation in command (#18900),core product bug fix,packages/twenty-server (1),1,38,4,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/7a1780e415fbac2db3b108c1431d1368fae3aaa4,no
38,2,Backend Correctness,2A,Server and Runtime Fixes,2A-02,medium,2026-03-25,3295f5ee07,3295f5ee0739fea6a1f3cbac28e2c89ae977eb2e,neo773,fix logo upload during workspace onboarding (#18905),core product bug fix,packages/twenty-server (2),2,31,26,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/3295f5ee0739fea6a1f3cbac28e2c89ae977eb2e,no
39,2,Backend Correctness,2A,Server and Runtime Fixes,2A-02,medium,2026-03-26,ec5ab2b84a,ec5ab2b84a7cd3f642406aba628b46d3332f7a34,Etienne,Fix format result (#18975),core product bug fix,packages/twenty-server (1),1,27,36,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/ec5ab2b84a7cd3f642406aba628b46d3332f7a34,no
40,2,Backend Correctness,2A,Server and Runtime Fixes,2A-02,high,2026-03-30,ecf8161d0e,ecf8161d0ea40c3846a3c190cb0f185916e835bc,Etienne,Fix - Remove signFileUrl method (#19121),core product bug fix,packages/twenty-server (20),20,175,195,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/ecf8161d0ea40c3846a3c190cb0f185916e835bc,no
41,2,Backend Correctness,2A,Server and Runtime Fixes,2A-02,medium,2026-03-30,ca00e8dece,ca00e8dece37dfdcd7901df992262dd40a2427fb,Weiko,Fix databaseSchema migration (#19132),core product bug fix,packages/twenty-server (1),1,3,3,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/ca00e8dece37dfdcd7901df992262dd40a2427fb,no
42,2,Backend Correctness,2A,Server and Runtime Fixes,2A-02,medium,2026-03-31,d10c0a6439,d10c0a643984ed653663c56ad41915fbbe92c56b,Thomas Trompette,Fix: composite update events not received (#19053),core product bug fix,packages/twenty-server (6),6,48,17,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/d10c0a643984ed653663c56ad41915fbbe92c56b,no
43,2,Backend Correctness,2A,Server and Runtime Fixes,2A-02,medium,2026-04-02,6ae5900ac9,6ae5900ac9ee8e757ba708514feed0ad515fda61,Weiko,Fix field permission validation rejecting undefined optional fields (#19243),core product bug fix,packages/twenty-server (3),3,37,58,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/6ae5900ac9ee8e757ba708514feed0ad515fda61,no
44,2,Backend Correctness,2A,Server and Runtime Fixes,2A-02,medium,2026-04-02,6f3a86c4a9,6f3a86c4a97ebceb3155aefa7e510cf874f45569,Weiko,Fix insert conflict between field permission and RLS (#19244),core product bug fix,packages/twenty-server (3),3,218,14,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/6f3a86c4a97ebceb3155aefa7e510cf874f45569,no
45,2,Backend Correctness,2A,Server and Runtime Fixes,2A-02,medium,2026-04-03,b55765a991,b55765a9913484a40cd572f4338d54c0e2eb2586,Raphaël Bosi,Fix delete/restore/destroy commands unavailable in select-all mode (#19311),core product bug fix,"packages/twenty-server (5), packages/twenty-shared (1)",6,230,8,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/b55765a9913484a40cd572f4338d54c0e2eb2586,no
46,2,Backend Correctness,2A,Server and Runtime Fixes,2A-02,medium,2026-04-07,f39fccc3c4,f39fccc3c466cd5d83565910ec211eadbcdc77d0,Félix Malfait,fix(messaging): split thread create/update statements and stop clobbering accumulator (#19388),core product bug fix,packages/twenty-server (1),1,13,14,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/f39fccc3c466cd5d83565910ec211eadbcdc77d0,no
47,2,Backend Correctness,2A,Server and Runtime Fixes,2A-03,medium,2026-04-07,1b14e7e1f1,1b14e7e1f19ee84fdda35055f3c4ba5e3f5ea951,Etienne,Fix - Update package.json (#19390),server dependency fix,"packages/twenty-server (1), yarn.lock (1)",2,2,15,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/1b14e7e1f19ee84fdda35055f3c4ba5e3f5ea951,no
48,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-01,medium,2026-03-05,1decd40eea,1decd40eea1464b6ebb8c96241e4abe0e707e564,Charles Bochet,Remove unecessary queries for aggregate (#18421),server perf fix,packages/twenty-server (1),1,6,2,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/1decd40eea1464b6ebb8c96241e4abe0e707e564,no
49,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-01,medium,2026-03-05,fc2b1de860,fc2b1de860f4dcb523dec5f0756714fd4193a04c,BugIsGod,fix: composite field sub-menu not showing in advanced filter (#18395),core product bug fix,packages/twenty-front (1),1,0,1,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/fc2b1de860f4dcb523dec5f0756714fd4193a04c,no
50,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-01,medium,2026-03-06,9f9a6a45dd,9f9a6a45dd786c8dc16e758a2c0e341bd7d12dca,Abdullah.,fix: enforce the user to pass in property with id suffix for morph relations in Rest API (#18335),core product bug fix,packages/twenty-server (17),17,237,69,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/9f9a6a45dd786c8dc16e758a2c0e341bd7d12dca,no
51,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-01,medium,2026-03-06,faee5ee63d,faee5ee63d5bceea3e52aa329c47250245e0a330,Abdullah.,"fix: morph relation persist uses wrong foreign key naming, producing invalid field parentObjectId. (#18352)",core product bug fix,packages/twenty-front (3),3,129,57,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/faee5ee63d5bceea3e52aa329c47250245e0a330,no
52,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-01,medium,2026-03-06,73268535dc,73268535dc5b2d2be556585df812bc928666c58c,Lucas Bordeau,Added record filter hidden fields in query (#18149),query/filter correctness,"packages/twenty-front (9), packages/twenty-shared (3)",12,137,26,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/73268535dc5b2d2be556585df812bc928666c58c,no
53,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-01,medium,2026-03-09,82a1179e23,82a1179e238c5ceb292e9be17d7a48b76ee9ca84,Thomas Trompette,Fix empty record index page (#18500),core product bug fix,packages/twenty-front (1),1,0,4,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/82a1179e238c5ceb292e9be17d7a48b76ee9ca84,no
54,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-01,medium,2026-03-09,5ab3eeb830,5ab3eeb8304df9a82144eabe3fe74cae31fdb9fd,Felipe,fix: throw clear error on invalid LOG_LEVELS (#18495),core product bug fix,packages/twenty-server (2),2,20,14,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/5ab3eeb8304df9a82144eabe3fe74cae31fdb9fd,no
55,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-01,medium,2026-03-12,db5b4d9c6c,db5b4d9c6cdf8c066964cdc3efacf6ba00fc2c8e,Hamza Faidi,fix: replace unsafe JSON.parse casts with parseJson in filter dropdowns (#18513),core product bug fix,packages/twenty-front (4),4,24,10,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/db5b4d9c6cdf8c066964cdc3efacf6ba00fc2c8e,no
56,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-01,high,2026-03-12,5bfa4c5c39,5bfa4c5c39ee99a6454a62dc34bcc89917d5e25c,martmull,Fix wrong uuid error (#18590),core product bug fix,"packages/twenty-sdk (4), packages/twenty-front (1), packages/twenty-server (1)",6,8,12,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/5bfa4c5c39ee99a6454a62dc34bcc89917d5e25c,no
