plan_order,wave,wave_name,batch,batch_name,chunk,risk,review_index,date,short_sha,sha,subject,rationale,top_dirs,files_changed,goal,validation,commit_url
40,2,Backend Correctness,2A,Server and Runtime Fixes,2A-02,high,578,2026-03-30,ecf8161d0e,ecf8161d0ea40c3846a3c190cb0f185916e835bc,Fix - Remove signFileUrl method (#19121),core product bug fix,packages/twenty-server (20),20,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/ecf8161d0ea40c3846a3c190cb0f185916e835bc
41,2,Backend Correctness,2A,Server and Runtime Fixes,2A-02,medium,580,2026-03-30,ca00e8dece,ca00e8dece37dfdcd7901df992262dd40a2427fb,Fix databaseSchema migration (#19132),core product bug fix,packages/twenty-server (1),1,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/ca00e8dece37dfdcd7901df992262dd40a2427fb
42,2,Backend Correctness,2A,Server and Runtime Fixes,2A-02,medium,595,2026-03-31,d10c0a6439,d10c0a643984ed653663c56ad41915fbbe92c56b,Fix: composite update events not received (#19053),core product bug fix,packages/twenty-server (6),6,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/d10c0a643984ed653663c56ad41915fbbe92c56b
43,2,Backend Correctness,2A,Server and Runtime Fixes,2A-02,medium,663,2026-04-02,6ae5900ac9,6ae5900ac9ee8e757ba708514feed0ad515fda61,Fix field permission validation rejecting undefined optional fields (#19243),core product bug fix,packages/twenty-server (3),3,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/6ae5900ac9ee8e757ba708514feed0ad515fda61
44,2,Backend Correctness,2A,Server and Runtime Fixes,2A-02,medium,672,2026-04-02,6f3a86c4a9,6f3a86c4a97ebceb3155aefa7e510cf874f45569,Fix insert conflict between field permission and RLS (#19244),core product bug fix,packages/twenty-server (3),3,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/6f3a86c4a97ebceb3155aefa7e510cf874f45569
45,2,Backend Correctness,2A,Server and Runtime Fixes,2A-02,medium,700,2026-04-03,b55765a991,b55765a9913484a40cd572f4338d54c0e2eb2586,Fix delete/restore/destroy commands unavailable in select-all mode (#19311),core product bug fix,"packages/twenty-server (5), packages/twenty-shared (1)",6,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/b55765a9913484a40cd572f4338d54c0e2eb2586
46,2,Backend Correctness,2A,Server and Runtime Fixes,2A-02,medium,749,2026-04-07,f39fccc3c4,f39fccc3c466cd5d83565910ec211eadbcdc77d0,fix(messaging): split thread create/update statements and stop clobbering accumulator (#19388),core product bug fix,packages/twenty-server (1),1,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/f39fccc3c466cd5d83565910ec211eadbcdc77d0
47,2,Backend Correctness,2A,Server and Runtime Fixes,2A-03,medium,751,2026-04-07,1b14e7e1f1,1b14e7e1f19ee84fdda35055f3c4ba5e3f5ea951,Fix - Update package.json (#19390),server dependency fix,"packages/twenty-server (1), yarn.lock (1)",2,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/1b14e7e1f19ee84fdda35055f3c4ba5e3f5ea951
48,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-01,medium,84,2026-03-05,1decd40eea,1decd40eea1464b6ebb8c96241e4abe0e707e564,Remove unecessary queries for aggregate (#18421),server perf fix,packages/twenty-server (1),1,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/1decd40eea1464b6ebb8c96241e4abe0e707e564
49,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-01,medium,93,2026-03-05,fc2b1de860,fc2b1de860f4dcb523dec5f0756714fd4193a04c,fix: composite field sub-menu not showing in advanced filter (#18395),core product bug fix,packages/twenty-front (1),1,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/fc2b1de860f4dcb523dec5f0756714fd4193a04c
50,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-01,medium,121,2026-03-06,9f9a6a45dd,9f9a6a45dd786c8dc16e758a2c0e341bd7d12dca,fix: enforce the user to pass in property with id suffix for morph relations in Rest API (#18335),core product bug fix,packages/twenty-server (17),17,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/9f9a6a45dd786c8dc16e758a2c0e341bd7d12dca
51,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-01,medium,127,2026-03-06,faee5ee63d,faee5ee63d5bceea3e52aa329c47250245e0a330,"fix: morph relation persist uses wrong foreign key naming, producing invalid field parentObjectId. (#18352)",core product bug fix,packages/twenty-front (3),3,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/faee5ee63d5bceea3e52aa329c47250245e0a330
52,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-01,medium,129,2026-03-06,73268535dc,73268535dc5b2d2be556585df812bc928666c58c,Added record filter hidden fields in query (#18149),query/filter correctness,"packages/twenty-front (9), packages/twenty-shared (3)",12,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/73268535dc5b2d2be556585df812bc928666c58c
53,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-01,medium,143,2026-03-09,82a1179e23,82a1179e238c5ceb292e9be17d7a48b76ee9ca84,Fix empty record index page (#18500),core product bug fix,packages/twenty-front (1),1,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/82a1179e238c5ceb292e9be17d7a48b76ee9ca84
54,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-01,medium,145,2026-03-09,5ab3eeb830,5ab3eeb8304df9a82144eabe3fe74cae31fdb9fd,fix: throw clear error on invalid LOG_LEVELS (#18495),core product bug fix,packages/twenty-server (2),2,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/5ab3eeb8304df9a82144eabe3fe74cae31fdb9fd
55,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-01,medium,210,2026-03-12,db5b4d9c6c,db5b4d9c6cdf8c066964cdc3efacf6ba00fc2c8e,fix: replace unsafe JSON.parse casts with parseJson in filter dropdowns (#18513),core product bug fix,packages/twenty-front (4),4,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/db5b4d9c6cdf8c066964cdc3efacf6ba00fc2c8e
56,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-01,high,223,2026-03-12,5bfa4c5c39,5bfa4c5c39ee99a6454a62dc34bcc89917d5e25c,Fix wrong uuid error (#18590),core product bug fix,"packages/twenty-sdk (4), packages/twenty-front (1), packages/twenty-server (1)",6,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/5bfa4c5c39ee99a6454a62dc34bcc89917d5e25c
57,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-01,high,228,2026-03-12,ab13020e2b,ab13020e2b22d45bf0a9b66930af4d555904a3f5,Fix wrong uuid error on field metadata (#18598),core product bug fix,"packages/twenty-sdk (3), packages/twenty-front (1), packages/twenty-server (1)",5,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/ab13020e2b22d45bf0a9b66930af4d555904a3f5
58,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-03,high,235,2026-03-13,0641e07ca6,0641e07ca6f61f14f4cef1621cb1fec1fb71d78b,Bring back relations notes tasks targets (#18600),core app change worth pulling,"packages/twenty-server (3), packages/twenty-front (1), packages/twenty-shared (1)",5,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/0641e07ca6f61f14f4cef1621cb1fec1fb71d78b
59,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-02,medium,275,2026-03-16,e552704201,e552704201342942f5d3d825875eea72a1a3ce34,fix: add viewFieldGroupId to ViewField fragment and connect page layout selectors to live metadata store (#18676),core product bug fix,packages/twenty-front (5),5,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/e552704201342942f5d3d825875eea72a1a3ce34
