index,date,sha,short_sha,author,subject,top_dirs,files_changed,insertions,deletions,patch_equivalent_in_origin,same_subject_in_origin,draft_recommendation,draft_rationale,draft_tag,commit_url,final_recommendation,final_rationale,final_tag,new_recommendation,new_wave,new_reason
12,2026-03-02,ff3326a53b3c4f4853496e15f7ce4a6d9fa9c42b,ff3326a53b,github-actions[bot],i18n - translations (#18323),packages/twenty-front (62),62,631,31,no,no,no,translations only,translations,https://github.com/twentyhq/twenty/commit/ff3326a53b3c4f4853496e15f7ce4a6d9fa9c42b,no,translations only,translations,no,,translations
13,2026-03-02,78a01976438bc41e95a528e9d1b2ef67fdc854db,78a0197643,Thomas Trompette,Prevent deletion of il-else branches  (#18294),packages/twenty-server (3),3,421,98,yes,yes,no,already integrated in Fuse,duplicate,https://github.com/twentyhq/twenty/commit/78a01976438bc41e95a528e9d1b2ef67fdc854db,no,already integrated in Fuse,duplicate,no,,duplicate
14,2026-03-02,37bcb353914a4a3dd77bc442366122fb69029536,37bcb35391,Weiko,Migrate pagelayout position frontend (#18229),"packages/twenty-front (12), packages/twenty-server (3)",15,140,14,no,no,no,"ambiguous change, not essential",ambiguous_no,https://github.com/twentyhq/twenty/commit/37bcb353914a4a3dd77bc442366122fb69029536,no,"ambiguous change, not essential",ambiguous_no,yes,7,ambiguous_improvement
15,2026-03-02,9c4b0f526c9dd8d2a26c3a54830a1f2132bdc445,9c4b0f526c,Charles Bochet,Refactor chip component hierarchy: AvatarChip → AvatarOrIcon (#18313),"packages/twenty-ui (11), packages/twenty-front (10)",21,412,204,no,yes,no,broad refactor or tooling churn,refactor,https://github.com/twentyhq/twenty/commit/9c4b0f526c9dd8d2a26c3a54830a1f2132bdc445,no,broad refactor or tooling churn,refactor,yes,8,code_refactor
16,2026-03-02,c4140f85df5845d581c8ac438e5b71a18f0bd851,c4140f85df,Charles Bochet,chore(twenty-front): migrate small modules from Emotion to Linaria (PR 1/10) (#18314),"packages/twenty-front (114), packages/twenty-ui (96), docs (1)",211,4754,1114,no,yes,no,broad refactor or tooling churn,refactor,https://github.com/twentyhq/twenty/commit/c4140f85df5845d581c8ac438e5b71a18f0bd851,no,broad refactor or tooling churn,refactor,yes,8,linaria_refactor
17,2026-03-02,1eb284c87f50ea3396bc3617884ad4c18260179b,1eb284c87f,nitin,Fix command menu text/number inputs to commit on blur and cancel cleanly on Escape (#18283),packages/twenty-front (2),2,21,24,yes,yes,no,already integrated in Fuse,duplicate,https://github.com/twentyhq/twenty/commit/1eb284c87f50ea3396bc3617884ad4c18260179b,no,already integrated in Fuse,duplicate,no,,duplicate
18,2026-03-02,20a2c3836ed0ce7d8be6326cf4849b20f67c430a,20a2c3836e,Abdullah.,feat: introduce role selector when inviting members to a workspace (#18085),"packages/twenty-server (17), packages/twenty-front (13)",30,630,337,no,yes,no,"new feature, not core fix",feature,https://github.com/twentyhq/twenty/commit/20a2c3836ed0ce7d8be6326cf4849b20f67c430a,no,"new feature, not core fix",feature,yes,6,feature
19,2026-03-02,6351c6c1c666d00a1702eacb28b271bca15e529a,6351c6c1c6,Félix Malfait,feat: remember original URL and redirect after login (#18308),"packages/twenty-front (14), packages/twenty-e2e-testing (1)",15,351,45,yes,yes,no,already integrated in Fuse,duplicate,https://github.com/twentyhq/twenty/commit/6351c6c1c666d00a1702eacb28b271bca15e529a,no,already integrated in Fuse,duplicate,no,,duplicate
20,2026-03-02,27847f6ac681ff46e1d5f3851bba685b87ffc905,27847f6ac6,github-actions[bot],i18n - translations (#18330),packages/twenty-front (62),62,810,300,no,no,no,translations only,translations,https://github.com/twentyhq/twenty/commit/27847f6ac681ff46e1d5f3851bba685b87ffc905,no,translations only,translations,no,,translations
21,2026-03-02,7809f83e72caf4c9162d5845d258d9d51bc647c5,7809f83e72,BugIsGod,fix: [Note] Title not filled by default #13838 (#18297),packages/twenty-front (4),4,61,45,yes,yes,no,already integrated in Fuse,duplicate,https://github.com/twentyhq/twenty/commit/7809f83e72caf4c9162d5845d258d9d51bc647c5,no,already integrated in Fuse,duplicate,no,,duplicate
22,2026-03-03,ae291c99ba5da35ea4acc73b1576a560663507dd,ae291c99ba,Abdul Rahman,fix: record does not open in side panel after returning from fullscreen (#17131),packages/twenty-front (3),3,95,82,yes,yes,no,already integrated in Fuse,duplicate,https://github.com/twentyhq/twenty/commit/ae291c99ba5da35ea4acc73b1576a560663507dd,no,already integrated in Fuse,duplicate,no,,duplicate
23,2026-03-03,802a5b0af68f5ef5de86213764b139c6efba8de6,802a5b0af6,Charles Bochet,"chore(twenty-front): migrate auth, activities, AI, pages and small modules from Emotion to Linaria (PR 2-3/10) (#18328)","packages/twenty-front (206), packages/twenty-ui (3)",209,2260,1826,yes,yes,no,already integrated in Fuse,duplicate,https://github.com/twentyhq/twenty/commit/802a5b0af68f5ef5de86213764b139c6efba8de6,no,already integrated in Fuse,duplicate,no,,duplicate
24,2026-03-03,0b766464e42288e97d2ca8d50d5745052a13204f,0b766464e4,Paul Rastoin,Composite action: Spawn twenty instance (#18317),.github (1),1,80,0,no,no,no,CI only,ci,https://github.com/twentyhq/twenty/commit/0b766464e42288e97d2ca8d50d5745052a13204f,no,CI only,ci,no,,ci
25,2026-03-03,58e37a118cb59c7fcd0ba72e8f17086cc4357d88,58e37a118c,Paul Rastoin,Builder runs delete update and then create (#18272),packages/twenty-server (3),3,489,74,no,no,no,"ambiguous change, not essential",ambiguous_no,https://github.com/twentyhq/twenty/commit/58e37a118cb59c7fcd0ba72e8f17086cc4357d88,no,"ambiguous change, not essential",ambiguous_no,yes,7,ambiguous_improvement
26,2026-03-03,2e9624858c070c8d94165f506c1275003dfcc5d1,2e9624858c,martmull,Fix name singular updates in dev mode (#18339),"packages/twenty-sdk (4), packages/twenty-server (2)",6,53,31,no,no,yes,core product bug fix,core_fix,https://github.com/twentyhq/twenty/commit/2e9624858c070c8d94165f506c1275003dfcc5d1,no,dev-mode only,dev_only,no,,dev_only
27,2026-03-03,083df3e7cabc26a11db7502f5bfb82e4534c4efb,083df3e7ca,neo773,OAuth Edge case crash + cleanup (#18326),packages/twenty-server (13),13,113,117,yes,yes,no,already integrated in Fuse,duplicate,https://github.com/twentyhq/twenty/commit/083df3e7cabc26a11db7502f5bfb82e4534c4efb,no,already integrated in Fuse,duplicate,no,,duplicate
28,2026-03-03,2f09fb8c0441c341914159b0dd449537151a31db,2f09fb8c04,Paul Rastoin,SDK Split command and cli logic (#18320),"packages/twenty-sdk (28), packages/twenty-apps (7)",35,5946,717,no,no,no,SDK/app-platform only,platform,https://github.com/twentyhq/twenty/commit/2f09fb8c0441c341914159b0dd449537151a31db,no,SDK/app-platform only,platform,no,,sdk_platform
29,2026-03-03,005223de8c656d4be2eb34871655541656aa8eff,005223de8c,Paul Rastoin,[SDK] Make public-operations non throw (#18343),"packages/twenty-sdk (11), packages/twenty-apps (1)",12,237,206,no,no,no,SDK/app-platform only,platform,https://github.com/twentyhq/twenty/commit/005223de8c656d4be2eb34871655541656aa8eff,no,SDK/app-platform only,platform,no,,sdk_platform
30,2026-03-03,d48c58640c6474de3940b5929f0396742eb6d087,d48c58640c,Charles Bochet,Migrate CI runners from Depot back to GitHub-hosted runners (#18347),.github (23),23,47,47,no,no,no,CI only,ci,https://github.com/twentyhq/twenty/commit/d48c58640c6474de3940b5929f0396742eb6d087,no,CI only,ci,no,,ci
31,2026-03-03,b2b3a3f8606ec0ce5c69433b78b0fd5f18e8072d,b2b3a3f860,Thomas Trompette,Workflow iterator continues on faillure (#18325),"packages/twenty-server (22), packages/twenty-front (5), packages/twenty-shared (2)",29,1410,456,no,no,yes,workflow reliability fix,workflow_fix,https://github.com/twentyhq/twenty/commit/b2b3a3f8606ec0ce5c69433b78b0fd5f18e8072d,yes,workflow reliability fix,workflow_fix,yes,4,workflow_fix
32,2026-03-03,4266f4022af4cec85f12838d98bb733276c67cf8,4266f4022a,github-actions[bot],i18n - translations (#18349),packages/twenty-front (62),62,331,31,no,no,no,translations only,translations,https://github.com/twentyhq/twenty/commit/4266f4022af4cec85f12838d98bb733276c67cf8,no,translations only,translations,no,,translations
33,2026-03-03,5c4a1f931abe40c2aaedb290b1c5ea809c88e428,5c4a1f931a,martmull,Fix trigger missing (#18348),packages/twenty-front (2),2,13,7,no,no,yes,workflow reliability fix,workflow_fix,https://github.com/twentyhq/twenty/commit/5c4a1f931abe40c2aaedb290b1c5ea809c88e428,yes,workflow reliability fix,workflow_fix,yes,4,workflow_fix
34,2026-03-03,b1107c823a16eaee679a23a088d64956c85f1405,b1107c823a,Etienne,Apollo enrich (#18277),"packages/twenty-apps (22), packages/twenty-front (1), packages/twenty-server (1)",24,8171,8,no,no,no,not clearly worth cherry-picking,default_no,https://github.com/twentyhq/twenty/commit/b1107c823a16eaee679a23a088d64956c85f1405,no,not clearly worth cherry-picking,default_no,yes,6,improvement
35,2026-03-03,8b26020a0b2d48fa9d7e0672a764154ae8ce4de5,8b26020a0b,martmull,Fix missing omit in application config (#18354),packages/twenty-sdk (1),1,1,0,no,no,no,SDK/app-platform only,platform,https://github.com/twentyhq/twenty/commit/8b26020a0b2d48fa9d7e0672a764154ae8ce4de5,no,SDK/app-platform only,platform,no,,sdk_platform
36,2026-03-03,3bfdc2c83f0ab79dc6c7e5edd4389fa0d74bc3c9,3bfdc2c83f,Charles Bochet,"chore(twenty-front): migrate command-menu, workflow, page-layout and UI modules from Emotion to Linaria (PR 4-6/10) (#18342)","packages/twenty-front (329), packages/twenty-ui (6), .yarn (1), docs (1)",339,3415,2589,no,yes,no,broad refactor or tooling churn,refactor,https://github.com/twentyhq/twenty/commit/3bfdc2c83f0ab79dc6c7e5edd4389fa0d74bc3c9,no,broad refactor or tooling churn,refactor,yes,8,linaria_refactor
37,2026-03-03,132a19f6884a44a5a203cb06804dc4c31a3692e1,132a19f688,Paul Rastoin,`[SDK]` Execute logic function e2e test (#18351),packages/twenty-sdk (7),7,176,1,no,no,no,tests only,tests,https://github.com/twentyhq/twenty/commit/132a19f6884a44a5a203cb06804dc4c31a3692e1,no,tests only,tests,no,,sdk_tests
38,2026-03-03,8a3b96d9119b25d08839a890ea9677968150f064,8a3b96d911,Paul Rastoin, Remove files (#18360),"npm-app-distribution-plan.md (1), npm-app-distribution-plan.pdf (1)",2,0,283,yes,yes,no,already integrated in Fuse,duplicate,https://github.com/twentyhq/twenty/commit/8a3b96d9119b25d08839a890ea9677968150f064,no,already integrated in Fuse,duplicate,no,,duplicate
39,2026-03-04,7a2e397ad14d56260f9f3460f49a252efce9f00c,7a2e397ad1,Charles Bochet,Complete linaria migration (#18361),"packages/twenty-front (453), packages/twenty-website (41), packages/twenty-docs (28), packages/twenty-ui (8)",540,3656,4158,no,yes,no,broad refactor or tooling churn,refactor,https://github.com/twentyhq/twenty/commit/7a2e397ad14d56260f9f3460f49a252efce9f00c,no,broad refactor or tooling churn,refactor,yes,8,linaria_refactor
40,2026-03-04,07dd27f6c4451aaf5399a1d6a1f00f61679f68e1,07dd27f6c4,github-actions[bot],i18n - translations (#18368),packages/twenty-front (62),62,120,120,no,no,no,translations only,translations,https://github.com/twentyhq/twenty/commit/07dd27f6c4451aaf5399a1d6a1f00f61679f68e1,no,translations only,translations,no,,translations
41,2026-03-04,a9c4920fcc7b4cdb4fff1b6e87ac7805dd351e69,a9c4920fcc,github-actions[bot],i18n - docs translations (#18370),packages/twenty-docs (3),3,7,7,no,no,no,translations only,translations,https://github.com/twentyhq/twenty/commit/a9c4920fcc7b4cdb4fff1b6e87ac7805dd351e69,no,translations only,translations,no,,translations
42,2026-03-04,2f9c94d9a069b3c1044f5ea21e3ccf917b10d099,2f9c94d9a0,Abdullah.,fix: upgrade nestjs dependencies to upgrade multer transitive import (#18374),"packages/twenty-server (1), yarn.lock (1)",2,86,77,yes,yes,no,already integrated in Fuse,duplicate,https://github.com/twentyhq/twenty/commit/2f9c94d9a069b3c1044f5ea21e3ccf917b10d099,no,already integrated in Fuse,duplicate,no,,duplicate
43,2026-03-04,ca1d49c6cd4e8a9d875c661a4a1007fa9ece6fb4,ca1d49c6cd,Abdullah.,fix: rollup 4 has arbitrary file write via path traversal (#18373),yarn.lock (1),1,113,318,yes,yes,no,already integrated in Fuse,duplicate,https://github.com/twentyhq/twenty/commit/ca1d49c6cd4e8a9d875c661a4a1007fa9ece6fb4,no,already integrated in Fuse,duplicate,no,,duplicate
44,2026-03-04,225f1852785641721a1c5aaa61d45f3df148ff3d,225f185278,Abdullah.,fix: fast-xml-parser has stack overflow in XMLBuilder with preserve order (#18375),"packages/twenty-server (1), yarn.lock (1)",2,427,419,yes,yes,no,already integrated in Fuse,duplicate,https://github.com/twentyhq/twenty/commit/225f1852785641721a1c5aaa61d45f3df148ff3d,no,already integrated in Fuse,duplicate,no,,duplicate
45,2026-03-04,995793c0ac0d46e3e778ddbe144d4a8c548f3184,995793c0ac,Paul Rastoin,`[CREATE_APP]` Integration testing scaffold (#18345),"packages/twenty-apps (28), packages/create-twenty-app (10), packages/twenty-sdk (4)",42,2846,1034,no,no,no,tests only,tests,https://github.com/twentyhq/twenty/commit/995793c0ac0d46e3e778ddbe144d4a8c548f3184,no,tests only,tests,no,,sdk_tests
46,2026-03-04,3b2bf3956558d97367d63d63dae666b7b4e6ebc5,3b2bf39565,Charles Bochet,Refactor modal (#18377),"packages/twenty-front (74), packages/twenty-ui (21), packages/twenty-shared (4)",99,4283,3688,no,no,no,broad refactor or tooling churn,refactor,https://github.com/twentyhq/twenty/commit/3b2bf3956558d97367d63d63dae666b7b4e6ebc5,no,broad refactor or tooling churn,refactor,yes,8,code_refactor
47,2026-03-04,5b544809f7b90fd0e10e293b2212b33668265047,5b544809f7,Baptiste Devessier,Support ungrouped fields + improve edition UX (#18224),packages/twenty-front (36),36,1840,283,no,no,no,UI behavior tweak,ux_tweak,https://github.com/twentyhq/twenty/commit/5b544809f7b90fd0e10e293b2212b33668265047,no,UI behavior tweak,ux_tweak,yes,7,ux_tweak
48,2026-03-04,80d054563e7bed46a8a371e6b8dac041fad67718,80d054563e,nitin,followup: centralize widget common properties and add widget bulk update integration tests (#18225),packages/twenty-server (5),5,637,77,no,no,no,tests only,tests,https://github.com/twentyhq/twenty/commit/80d054563e7bed46a8a371e6b8dac041fad67718,no,tests only,tests,yes,7,test_coverage
49,2026-03-04,906a0aed38ee6661d992a513a803fa37de0696ee,906a0aed38,Etienne,Common API - Filter validation layer (#18187),packages/twenty-server (82),82,3075,1022,yes,yes,no,already integrated in Fuse,duplicate,https://github.com/twentyhq/twenty/commit/906a0aed38ee6661d992a513a803fa37de0696ee,no,already integrated in Fuse,duplicate,no,,duplicate
50,2026-03-04,c97d872b9f8f153f4ef3e46cbcb938e0e66c24dd,c97d872b9f,BOHEUS,`[BREAKING_CHANGE_VIEW_SORT]` Refactor view sort to v2 (#17609),"packages/twenty-server (108), packages/twenty-front (26), packages/twenty-shared (1)",135,3253,806,no,no,no,broad refactor or tooling churn,refactor,https://github.com/twentyhq/twenty/commit/c97d872b9f8f153f4ef3e46cbcb938e0e66c24dd,no,broad refactor or tooling churn,refactor,yes,8,code_refactor
51,2026-03-04,845a1934d302d8d7e144e1e7857386aa91999188,845a1934d3,Paul Rastoin,Tt call recording app (#18281),"packages/twenty-apps (47), packages/twenty-companion (30), packages/twenty-front (12), packages/twenty-server (7)",103,31146,58,no,no,no,non-core upstream feature,noncore_feature,https://github.com/twentyhq/twenty/commit/845a1934d302d8d7e144e1e7857386aa91999188,no,non-core upstream feature,noncore_feature,yes,6,noncore_feature
52,2026-03-04,aaa483c020e276acdf716340916c9bbe7d5b8dc2,aaa483c020,github-actions[bot],i18n - translations (#18380),"packages/twenty-front (62), packages/twenty-server (62)",124,1693,273,no,no,no,translations only,translations,https://github.com/twentyhq/twenty/commit/aaa483c020e276acdf716340916c9bbe7d5b8dc2,no,translations only,translations,no,,translations
53,2026-03-04,07803f232f0e248c404d81ef260bf04f89865c5d,07803f232f,nitin,fix: use ForbiddenException in DevelopmentGuard to prevent Sentry noise (#18378),packages/twenty-server (2),2,13,6,yes,yes,no,already integrated in Fuse,duplicate,https://github.com/twentyhq/twenty/commit/07803f232f0e248c404d81ef260bf04f89865c5d,no,already integrated in Fuse,duplicate,no,,duplicate
54,2026-03-04,d59d2efb8ba33e886dfa730c5e5ea77551c768e9,d59d2efb8b,github-actions[bot],i18n - translations (#18383),"packages/twenty-front (62), packages/twenty-server (62)",124,2223,62,no,no,no,translations only,translations,https://github.com/twentyhq/twenty/commit/d59d2efb8ba33e886dfa730c5e5ea77551c768e9,no,translations only,translations,no,,translations
55,2026-03-04,f09a9cc25a00af5b76fee698e50e06c07c8026ce,f09a9cc25a,Thomas Trompette,Replace align-center with padding (#18384),packages/twenty-front (1),1,2,1,no,no,yes,core app change worth pulling,default_core_yes,https://github.com/twentyhq/twenty/commit/f09a9cc25a00af5b76fee698e50e06c07c8026ce,no,cosmetic CSS tweak,cosmetic,yes,7,cosmetic
56,2026-03-04,b11f77df2a08dce8295c23d4e92b0969c5426eab,b11f77df2a,Raphaël Bosi,[FRONT COMPONENTS] Introduce conditionalAvailabilityExpression to command menu items (#18319),"packages/twenty-front (232), packages/twenty-server (84), packages/twenty-sdk (20), packages/twenty-shared (8)",349,1648,454,no,no,no,"new feature, not core fix",feature,https://github.com/twentyhq/twenty/commit/b11f77df2a08dce8295c23d4e92b0969c5426eab,no,"new feature, not core fix",feature,yes,6,feature
57,2026-03-04,999dcd44684713d3bbeac6ee4a68e1a8ced85e56,999dcd4468,martmull,Increase size of input in test setting logic function tab (#18369),"packages/twenty-front (10), packages/twenty-ui (5)",15,249,64,no,no,yes,core app change worth pulling,default_core_yes,https://github.com/twentyhq/twenty/commit/999dcd44684713d3bbeac6ee4a68e1a8ced85e56,no,minor admin UI sizing,cosmetic,yes,7,cosmetic
58,2026-03-04,be01a85d676aec2a15732e7a0b215108e1446f57,be01a85d67,github-actions[bot],i18n - translations (#18387),packages/twenty-front (31),31,30,60,no,no,no,translations only,translations,https://github.com/twentyhq/twenty/commit/be01a85d676aec2a15732e7a0b215108e1446f57,no,translations only,translations,no,,translations
59,2026-03-04,eda905f271d72e984186509869caa7e0de243657,eda905f271,Charles Bochet,[DevXP] Improve Linaria pre-build speed (#18382),"packages/twenty-front (29), packages/twenty-ui (24), packages/twenty-shared (2)",55,694,653,no,yes,no,broad refactor or tooling churn,refactor,https://github.com/twentyhq/twenty/commit/eda905f271d72e984186509869caa7e0de243657,no,broad refactor or tooling churn,refactor,yes,8,linaria_refactor
60,2026-03-04,aeedcf33534adc786614244027f11934dc0ae6e9,aeedcf3353,Thomas des Francs,Enable password reset from app.twenty.com with workspace fallback (#18271),"packages/twenty-front (7), packages/twenty-server (7)",14,343,103,no,no,yes,security or auth hardening,security,https://github.com/twentyhq/twenty/commit/aeedcf33534adc786614244027f11934dc0ae6e9,yes,security or auth hardening,security,yes,1,security
61,2026-03-04,c94657dc0ad5d51f39fb4c13e1b00b4055db345d,c94657dc0a,Abdul Rahman,Navbar AI chats followup (#18336),"packages/twenty-front (12), packages/twenty-server (4)",16,397,72,no,no,no,"ambiguous change, not essential",ambiguous_no,https://github.com/twentyhq/twenty/commit/c94657dc0ad5d51f39fb4c13e1b00b4055db345d,no,"ambiguous change, not essential",ambiguous_no,yes,7,ambiguous_improvement
62,2026-03-04,7f6b270a76b1c8a81ec37964aefcfed823958bbc,7f6b270a76,github-actions[bot],i18n - translations (#18388),"packages/twenty-front (62), packages/twenty-server (62)",124,433,212,no,no,no,translations only,translations,https://github.com/twentyhq/twenty/commit/7f6b270a76b1c8a81ec37964aefcfed823958bbc,no,translations only,translations,no,,translations
63,2026-03-04,c53d281960796b6393e87d87c40d9bddf70f28be,c53d281960,Paul Rastoin,Fix invalid universal identifier format command cache flush (#18385),packages/twenty-server (1),1,50,1,yes,yes,no,already integrated in Fuse,duplicate,https://github.com/twentyhq/twenty/commit/c53d281960796b6393e87d87c40d9bddf70f28be,no,already integrated in Fuse,duplicate,no,,duplicate
64,2026-03-04,911a46aa45505478bf6e2fbc61f8494ec8e1dbd7,911a46aa45,Thomas Trompette,Improve workflow perfs (#18376),packages/twenty-server (11),11,357,135,no,no,yes,workflow reliability fix,workflow_fix,https://github.com/twentyhq/twenty/commit/911a46aa45505478bf6e2fbc61f8494ec8e1dbd7,yes,workflow reliability fix,workflow_fix,yes,4,workflow_fix
65,2026-03-05,4c001778c2ac48847c4215bde8ba152da81600a9,4c001778c2,neo773,fix google signup edge case (#18365),"packages/twenty-server (8), yarn.lock (1)",9,212,66,no,yes,yes,core product bug fix,core_fix,https://github.com/twentyhq/twenty/commit/4c001778c2ac48847c4215bde8ba152da81600a9,yes,core product bug fix,core_fix,yes,3,frontend_fix
66,2026-03-04,c41a8e2b235f72dcf80587a96562b455c7c30f6f,c41a8e2b23,Charles Bochet,[DevXP] Simplify twenty-ui theme system: replace auto-generated files with static CSS variables (#18389),"packages/twenty-front (36), packages/twenty-ui (25)",61,4579,3243,no,yes,no,broad refactor or tooling churn,refactor,https://github.com/twentyhq/twenty/commit/c41a8e2b235f72dcf80587a96562b455c7c30f6f,no,broad refactor or tooling churn,refactor,yes,8,code_refactor
67,2026-03-04,26f0a416a179ead758c224451f7cd045562fd9f0,26f0a416a1,Etienne,File storage cleaning (#18381),"packages/twenty-server (59), packages/twenty-front (55), packages/twenty-shared (3)",117,857,3237,no,no,yes,core product bug fix,core_fix,https://github.com/twentyhq/twenty/commit/26f0a416a179ead758c224451f7cd045562fd9f0,no,too large for safe cherry-pick; manual port later,manual_port,no,,uncategorized_manual_port
68,2026-03-05,2493adbb87063dd47a10139b62a7f328909397aa,2493adbb87,Abdullah.,fix: minimatch related dependabot alerts (#18396),"packages/twenty-server (2), yarn.lock (1)",3,55,55,yes,yes,no,already integrated in Fuse,duplicate,https://github.com/twentyhq/twenty/commit/2493adbb87063dd47a10139b62a7f328909397aa,no,already integrated in Fuse,duplicate,no,,duplicate
69,2026-03-04,228865bd9491090a516b49df8056bbc7f6897fd4,228865bd94,github-actions[bot],i18n - translations (#18398),packages/twenty-front (62),62,31,361,no,no,no,translations only,translations,https://github.com/twentyhq/twenty/commit/228865bd9491090a516b49df8056bbc7f6897fd4,no,translations only,translations,no,,translations
70,2026-03-05,72086fe111bed1c4870d163cb661a0145dbfd399,72086fe111,dependabot[bot],Bump @dagrejs/dagre from 1.1.3 to 1.1.8 (#18409),"packages/twenty-front (1), packages/twenty-server (1), yarn.lock (1)",3,11,13,no,no,yes,core app change worth pulling,default_core_yes,https://github.com/twentyhq/twenty/commit/72086fe111bed1c4870d163cb661a0145dbfd399,no,dependency bump only,dependency,no,,dependency
71,2026-03-05,6a2e0182ab84c6526cca527b2180e8a2c93cb8ea,6a2e0182ab,dependabot[bot],Bump @blocknote/server-util from 0.47.0 to 0.47.1 (#18408),"packages/twenty-front (1), packages/twenty-server (1), yarn.lock (1)",3,105,53,no,no,yes,core app change worth pulling,default_core_yes,https://github.com/twentyhq/twenty/commit/6a2e0182ab84c6526cca527b2180e8a2c93cb8ea,no,dependency bump only,dependency,no,,dependency
72,2026-03-05,338a38682d22ba201581af8743a5d0b2a3a9f0ac,338a38682d,Abdullah.,feat: upgrade nx to latest (#18404),"package.json (1), yarn.lock (1)",2,794,1165,no,no,no,SDK/app-platform only,platform,https://github.com/twentyhq/twenty/commit/338a38682d22ba201581af8743a5d0b2a3a9f0ac,no,SDK/app-platform only,platform,no,,sdk_platform
