plan_order,wave,wave_name,batch,batch_name,chunk,risk,date,short_sha,sha,author,subject,rationale,top_dirs,files_changed,insertions,deletions,goal,validation,commit_url,new_in_revision,backlog_track,backlog_reason
193,6,Features & Enhancements,6B,Record & Field Features,6B-01,low,2026-03-14,602db4ffea,602db4ffeac4716957f7c298f5512bccde5a8023,Charles Bochet,feat: enable Rich Text as a creatable field type (#18634),feature,packages/twenty-front (18),18,576,370,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/602db4ffeac4716957f7c298f5512bccde5a8023,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
194,6,Features & Enhancements,6B,Record & Field Features,6B-01,medium,2026-03-18,fe4512f80c,fe4512f80ca152c6c12f79a6bef365164d26c917,Baptiste Devessier,Add record page layout tabs editing (#18702),feature,"packages/twenty-front (65), packages/twenty-server (8), packages/twenty-sdk (3), packages/twenty-shared (1)",77,1153,662,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/fe4512f80ca152c6c12f79a6bef365164d26c917,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
196,6,Features & Enhancements,6B,Record & Field Features,6B-01,low,2026-03-25,5f0d6553f6,5f0d6553f61a5c0c74e50652dfabb2fb2ee399f5,Félix Malfait,Add object type filter dropdown to side panel record searches (#18912),feature,"packages/twenty-front (16), packages/twenty-server (5), packages/twenty-client-sdk (3), packages/twenty-shared (2)",26,640,97,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/5f0d6553f61a5c0c74e50652dfabb2fb2ee399f5,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
197,6,Features & Enhancements,6B,Record & Field Features,6B-01,low,2026-03-25,33a474c8e6,33a474c8e6c64819af4439959429bb94fa794bd5,Lucas Bordeau,Add record table widget feature flag (#18960),feature,"packages/twenty-front (4), packages/twenty-client-sdk (2), packages/twenty-server (2), packages/twenty-shared (1)",9,46,26,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/33a474c8e6c64819af4439959429bb94fa794bd5,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
198,6,Features & Enhancements,6B,Record & Field Features,6B-01,low,2026-03-26,cfefe9273b,cfefe9273b372d6f2251fa7c07f00e4b3a51cbc0,Baptiste Devessier,Use record page layouts in the merge records feature (#18961),feature,packages/twenty-front (11),11,150,212,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/cfefe9273b372d6f2251fa7c07f00e4b3a51cbc0,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
199,6,Features & Enhancements,6B,Record & Field Features,6B-01,low,2026-03-31,436333f110,436333f11033f2c37a3c9a15c75323ff7bc4cfab,Weiko,Add see records link to data model (#19163),feature,packages/twenty-front (1),1,26,7,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/436333f11033f2c37a3c9a15c75323ff7bc4cfab,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
200,6,Features & Enhancements,6B,Record & Field Features,6B-01,low,2026-04-01,20ac5b7e84,20ac5b7e84bc662192c90f40be93b638d573ef67,Baptiste Devessier,Field widget edition (#19209),feature,"packages/twenty-front (13), packages/twenty-shared (1)",14,413,10,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/20ac5b7e84bc662192c90f40be93b638d573ef67,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
201,6,Features & Enhancements,6B,Record & Field Features,6B-01,medium,2026-04-06,8acfacc69c,8acfacc69cfade63d92255e3e44b59c004ba1fbc,Félix Malfait,Add email thread widget and message thread record page layout (#19351),feature,"packages/twenty-server (27), packages/twenty-front (22), packages/twenty-shared (4), packages/twenty-client-sdk (3)",56,1936,1866,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/8acfacc69cfade63d92255e3e44b59c004ba1fbc,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
202,6,Features & Enhancements,6C,Workflow Enhancements,6C-01,low,2026-03-20,ffb02a6878,ffb02a687885d2836ead2ec711475646808d9435,Thomas Trompette,Improve workflow metrics with faillure reason (#18768),workflow_feature,packages/twenty-server (9),9,68,16,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/ffb02a687885d2836ead2ec711475646808d9435,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
203,6,Features & Enhancements,6C,Workflow Enhancements,6C-01,low,2026-03-20,a8625d8bfb,a8625d8bfb37680affae4031b8f87718a6f2ed41,Thomas Trompette,Clean workflow query invalid input errors from sentry (#18804),workflow_feature,packages/twenty-server (3),3,24,1,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/a8625d8bfb37680affae4031b8f87718a6f2ed41,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
204,6,Features & Enhancements,6C,Workflow Enhancements,6C-01,low,2026-03-22,8ef32c4781,8ef32c47814cd9d5a4697276b80a14ad0cb33fa6,neo773,Add `In-Reply-To` to Email Workflow Node (#18641),workflow_feature,"packages/twenty-docs (11), packages/twenty-server (9), packages/twenty-front (4), packages/twenty-shared (2)",26,259,27,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/8ef32c47814cd9d5a4697276b80a14ad0cb33fa6,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
205,6,Features & Enhancements,6C,Workflow Enhancements,6C-01,low,2026-03-22,c107d804d2,c107d804d298c3953af25c4e261a8c3868129290,Raphaël Bosi,Create command menu items for workflows with manual trigger (#18746),workflow_feature,"packages/twenty-server (15), packages/twenty-front (11), packages/twenty-sdk (3)",29,1264,847,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/c107d804d298c3953af25c4e261a8c3868129290,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
206,6,Features & Enhancements,6C,Workflow Enhancements,6C-01,low,2026-03-26,d126d54bbc,d126d54bbcdda561591f9d5dc39d15457d7b7624,Félix Malfait,feat: make workflow objects searchable (#18906),workflow_feature,packages/twenty-server (5),5,95,0,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/d126d54bbcdda561591f9d5dc39d15457d7b7624,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
207,6,Features & Enhancements,6C,Workflow Enhancements,6C-01,low,2026-03-27,50ea560e57,50ea560e57c918477c8c2913c9b83f84b6bdfb85,Thomas des Francs,Seed company workflow for email upserts (#18909),workflow_feature,"packages/twenty-server (17), packages/twenty-client-sdk (3)",20,1345,462,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/50ea560e57c918477c8c2913c9b83f84b6bdfb85,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
208,6,Features & Enhancements,6C,Workflow Enhancements,6C-01,low,2026-04-03,baa4fda3d2,baa4fda3d2244c858b6d0c8e1e82c28c4a7023ea,neo773,fix: create company workflow (use psl for domain suffix) (#19289),workflow_feature,packages/twenty-server (4),4,30,122,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/baa4fda3d2244c858b6d0c8e1e82c28c4a7023ea,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
209,6,Features & Enhancements,6D,Auth & Permission Features,6D-01,low,2026-03-16,95a35f8a1d,95a35f8a1d050470434ed1c63726f6042e38a228,Félix Malfait,Implement OAuth 2.0 Dynamic Client Registration (RFC 7591) (#18608),feature,"packages/twenty-server (28), packages/twenty-front (6), packages/twenty-docs (2), packages/twenty-sdk (2)",38,984,165,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/95a35f8a1d050470434ed1c63726f6042e38a228,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
210,6,Features & Enhancements,6D,Auth & Permission Features,6D-01,low,2026-03-26,7a341c6475,7a341c64753d7c0503c4dcba4e3b0711f2575caa,Félix Malfait,feat: support authType on AI providers for IAM role authentication (#19016),feature,"packages/twenty-server (5), packages/twenty-front (4)",9,26,5,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/7a341c64753d7c0503c4dcba4e3b0711f2575caa,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
211,6,Features & Enhancements,6E,General Product Features,6E-01,low,2026-03-02,20a2c3836e,20a2c3836ed0ce7d8be6326cf4849b20f67c430a,Abdullah.,feat: introduce role selector when inviting members to a workspace (#18085),feature,"packages/twenty-server (17), packages/twenty-front (13)",30,630,337,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/20a2c3836ed0ce7d8be6326cf4849b20f67c430a,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
212,6,Features & Enhancements,6E,General Product Features,6E-01,low,2026-03-05,62a634831d,62a634831d86ef656b2ec7e975b37e25aca0e651,Baptiste Devessier,feat: create specialized component for header (#18438),feature,packages/twenty-front (2),2,48,7,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/62a634831d86ef656b2ec7e975b37e25aca0e651,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
214,6,Features & Enhancements,6E,General Product Features,6E-01,low,2026-03-10,ae122f4bb1,ae122f4bb1be62f7019478933e8646a90c4835d1,Abdul Rahman,Add draft message persistence for AI chat threads (#18371),feature,packages/twenty-front (27),27,733,304,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/ae122f4bb1be62f7019478933e8646a90c4835d1,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
215,6,Features & Enhancements,6E,General Product Features,6E-01,low,2026-03-10,033d297695,033d297695747fcb86ba7fc9e2b15174f75264b6,BugIsGod,feat: add visual time picker to DateTimePicker (#15057) (#17952),feature,"packages/twenty-front (15), packages/twenty-ui (2)",17,731,196,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/033d297695747fcb86ba7fc9e2b15174f75264b6,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
216,6,Features & Enhancements,6E,General Product Features,6E-01,low,2026-03-10,40a8d18d38,40a8d18d3815defbb474fe97749548f8b09358e7,Arun,"feat : Added ""Quarter"" as a time unity to filter on date (#18289)",feature,"packages/twenty-shared (10), packages/twenty-front (2), packages/twenty-server (1)",13,196,4,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/40a8d18d3815defbb474fe97749548f8b09358e7,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
217,6,Features & Enhancements,6E,General Product Features,6E-01,low,2026-03-11,b346f4fb59,b346f4fb596e091d3edd203fd6d3b2e71c40e42e,Thomas Trompette,Add common loader (#18556),feature,packages/twenty-front (6),6,86,94,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/b346f4fb596e091d3edd203fd6d3b2e71c40e42e,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
218,6,Features & Enhancements,6E,General Product Features,6E-01,low,2026-03-12,69542898a1,69542898a1caeda4b9073ae2a4dce0305409a8d4,Baptiste Devessier,Display a single Add a Section button (#18563),feature,"packages/twenty-front (5), packages/twenty-ui (4)",9,77,25,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/69542898a1caeda4b9073ae2a4dce0305409a8d4,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
219,6,Features & Enhancements,6E,General Product Features,6E-01,low,2026-03-12,2a6fcfcfb3,2a6fcfcfb300553933c4eb3f8bf3ed6a3b626197,Baptiste Devessier,Side Panel Sub Page Framework® (#18579),feature,"packages/twenty-front (44), packages/twenty-shared (1)",45,816,543,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/2a6fcfcfb300553933c4eb3f8bf3ed6a3b626197,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
220,6,Features & Enhancements,6E,General Product Features,6E-01,low,2026-03-12,1cb4c98cb3,1cb4c98cb3528597f20e1479952c00631f35c3a6,Weiko,Add dataloader and read from cache for view entities (#18594),feature,"packages/twenty-server (9), packages/twenty-sdk (3)",12,1121,737,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/1cb4c98cb3528597f20e1479952c00631f35c3a6,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
221,6,Features & Enhancements,6E,General Product Features,6E-02,low,2026-03-13,172bbd01bc,172bbd01bc303ee1c1e56c16f13ae3ec552c7f82,Pablo Morales,Add Gemini 3.1 Flash Lite model to AI registry (#18597),feature,packages/twenty-server (2),2,15,0,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/172bbd01bc303ee1c1e56c16f13ae3ec552c7f82,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
223,6,Features & Enhancements,6E,General Product Features,6E-02,medium,2026-03-14,40ff109179,40ff1091793796c5fa4d34ea1e3f3aadbca0a33f,Charles Bochet,feat: migrate objectMetadata reads to granular metadata store (#18643),feature,packages/twenty-front (64),64,656,314,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/40ff1091793796c5fa4d34ea1e3f3aadbca0a33f,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
224,6,Features & Enhancements,6E,General Product Features,6E-02,medium,2026-03-14,7a3540788a,7a3540788af94a4e362dc26594c14bdbfba7c95a,Charles Bochet,"feat: uniformize metadata store with flat types, SSE alignment, presentation endpoint & localStorage (#18647)",feature,"packages/twenty-front (55), packages/twenty-server (7), packages/twenty-sdk (3)",65,1786,410,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/7a3540788af94a4e362dc26594c14bdbfba7c95a,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
225,6,Features & Enhancements,6E,General Product Features,6E-02,low,2026-03-14,06efee1eef,06efee1eef245db914c144f2c1210c88021578ac,Charles Bochet,feat: hash-based metadata staleness detection (#18649),feature,"packages/twenty-front (23), packages/twenty-server (9), packages/twenty-sdk (3)",35,255,59,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/06efee1eef245db914c144f2c1210c88021578ac,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
228,6,Features & Enhancements,6E,General Product Features,6E-02,medium,2026-03-20,9cb21e71fa,9cb21e71fa216ef55d91d0a0e780382faa7c7f93,Charles Bochet,feat: secure and user-scope metadata resolvers for messaging infrastructure (#18787),feature,"packages/twenty-server (57), packages/twenty-front (28), packages/twenty-sdk (3)",88,3405,1226,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/9cb21e71fa216ef55d91d0a0e780382faa7c7f93,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
230,6,Features & Enhancements,6E,General Product Features,6E-02,low,2026-03-22,9a306ddb9a,9a306ddb9ab9ee6ecb0ad17171f317a711540b26,Charles Bochet,feat: store SSO connections as connected accounts during sign-in (#18825),feature,"packages/twenty-server (14), packages/twenty-front (4), packages/twenty-shared (1)",19,487,114,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/9a306ddb9ab9ee6ecb0ad17171f317a711540b26,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
231,6,Features & Enhancements,6E,General Product Features,6E-03,low,2026-03-24,69fe6fcadd,69fe6fcadd3c0895dd86d1b525c5f90210d6fbe9,Charles Bochet,chore: add explicit return type to getBackgroundColor (#18878),feature,".github (1), packages/twenty-ui (1)",2,6,1,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/69fe6fcadd3c0895dd86d1b525c5f90210d6fbe9,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
232,6,Features & Enhancements,6E,General Product Features,6E-03,low,2026-03-24,98c21f958a,98c21f958afabf45110fc3522e80373e8d791905,martmull,Add twenty-sdk-client to deployed packages unique version check (#18933),feature,packages/twenty-utils (1),1,1,1,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/98c21f958afabf45110fc3522e80373e8d791905,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
233,6,Features & Enhancements,6E,General Product Features,6E-03,low,2026-03-25,4a099ed097,4a099ed097a19d2bd028d4b566db2cf3b35f675f,Abdul Rahman,Use side panel sub-pages for add-to-folder flow (#18872),feature,packages/twenty-front (41),41,289,284,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/4a099ed097a19d2bd028d4b566db2cf3b35f675f,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
234,6,Features & Enhancements,6E,General Product Features,6E-03,low,2026-03-25,895bb58fc6,895bb58fc6f982fc268a11004e5978bf98bdf01f,Félix Malfait,feat: add S3 presigned URL redirect for file downloads (#18864),feature,"packages/twenty-server (17), packages/twenty-docker (2), packages/twenty-docs (1)",20,550,47,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/895bb58fc6f982fc268a11004e5978bf98bdf01f,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
235,6,Features & Enhancements,6E,General Product Features,6E-03,low,2026-03-25,d47ddad4c5,d47ddad4c5595f135229ceb252f4f7149fd7dd96,Thomas Trompette,Add multiselect option to form step (#18979),feature,"packages/twenty-front (8), packages/twenty-shared (1)",9,46,13,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/d47ddad4c5595f135229ceb252f4f7149fd7dd96,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
236,6,Features & Enhancements,6E,General Product Features,6E-03,low,2026-03-26,c3a3cf9c67,c3a3cf9c67adc62b545d80b794404c88ddf696c2,Marie,[Apps SDK] Add error message if relationType is missing (#19006),feature,"packages/twenty-server (3), packages/twenty-sdk (2)",5,253,6,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/c3a3cf9c67adc62b545d80b794404c88ddf696c2,yes,cherry-pick-candidate,Likely cherry-pickable after Waves 1-5 land
